,Segment1.Trend,Segment2.Trend,Segment3.Trend
ENSMPUG00000013553,0,1,NA
ENSMPUG00000003380,0,1,0
ENSMPUG00000002547,0,0,-1
ENSMPUG00000016050,0,0,0
ENSMPUG00000017757,0,1,NA
ENSMPUG00000006886,0,1,0
ENSMPUG00000003682,0,1,0
ENSMPUG00000018118,0,0,0
ENSMPUG00000006665,0,1,NA
ENSMPUG00000002926,0,1,0
ENSMPUG00000003275,0,1,NA
ENSMPUG00000012087,0,1,0
ENSMPUG00000017636,0,1,NA
ENSMPUG00000015887,0,1,NA
ENSMPUG00000014369,0,1,NA
ENSMPUG00000009271,0,1,NA
ENSMPUG00000012468,0,1,NA
ENSMPUG00000002550,0,0,0
ENSMPUG00000006217,0,1,NA
ENSMPUG00000013134,0,1,NA
ENSMPUG00000006489,0,0,0
ENSMPUG00000003057,0,1,NA
ENSMPUG00000017571,0,1,NA
ENSMPUG00000010568,0,0,0
ENSMPUG00000001638,0,1,NA
ENSMPUG00000009578,0,1,NA
ENSMPUG00000014389,0,1,NA
ENSMPUG00000016913,0,1,NA
ENSMPUG00000001362,0,1,NA
ENSMPUG00000014295,0,0,1
ENSMPUG00000017286,0,1,NA
ENSMPUG00000015388,0,1,NA
ENSMPUG00000010685,0,1,NA
ENSMPUG00000008778,0,0,0
ENSMPUG00000003072,0,1,NA
ENSMPUG00000015231,0,1,NA
ENSMPUG00000017266,0,0,0
ENSMPUG00000005273,0,0,NA
ENSMPUG00000004319,0,1,NA
ENSMPUG00000010504,0,1,NA
ENSMPUG00000007140,0,1,0
ENSMPUG00000007446,0,0,NA
ENSMPUG00000013995,0,1,NA
ENSMPUG00000002543,0,1,NA
ENSMPUG00000017875,0,1,NA
ENSMPUG00000004629,0,0,0
ENSMPUG00000009143,0,1,NA
ENSMPUG00000009062,0,1,NA
ENSMPUG00000010554,0,1,NA
ENSMPUG00000012979,0,1,NA
ENSMPUG00000013146,0,1,NA
ENSMPUG00000006670,0,0,0
ENSMPUG00000015600,0,1,NA
ENSMPUG00000020198,0,1,0
ENSMPUG00000001830,0,1,NA
ENSMPUG00000000239,0,1,NA
ENSMPUG00000005728,0,1,NA
ENSMPUG00000007060,0,1,NA
ENSMPUG00000012450,0,1,NA
ENSMPUG00000015106,0,1,0
ENSMPUG00000011619,0,1,NA
ENSMPUG00000008450,0,1,NA
ENSMPUG00000003921,0,1,NA
ENSMPUG00000008733,0,1,NA
ENSMPUG00000018119,0,1,NA
ENSMPUG00000016517,0,1,NA
ENSMPUG00000000263,0,1,NA
ENSMPUG00000005110,0,1,NA
ENSMPUG00000013794,0,0,0
ENSMPUG00000018610,0,1,NA
ENSMPUG00000018060,0,1,NA
ENSMPUG00000007710,0,1,NA
ENSMPUG00000012354,0,1,NA
ENSMPUG00000007475,0,1,NA
ENSMPUG00000003306,0,1,NA
ENSMPUG00000016053,0,1,NA
ENSMPUG00000014699,0,0,NA
ENSMPUG00000002916,0,1,NA
ENSMPUG00000017353,0,1,NA
ENSMPUG00000010522,0,0,0
ENSMPUG00000016781,0,1,NA
ENSMPUG00000016106,0,0,0
ENSMPUG00000004356,0,1,0
ENSMPUG00000008369,0,1,NA
ENSMPUG00000027881,0,0,0
ENSMPUG00000005426,0,1,NA
ENSMPUG00000015347,0,0,NA
ENSMPUG00000010752,0,1,0
ENSMPUG00000016567,0,1,NA
ENSMPUG00000019292,0,1,NA
ENSMPUG00000012530,1,NA,NA
ENSMPUG00000012760,0,0,0
ENSMPUG00000002402,0,1,NA
ENSMPUG00000017411,0,1,NA
ENSMPUG00000011221,0,1,NA
ENSMPUG00000006508,0,1,NA
ENSMPUG00000000230,0,1,NA
ENSMPUG00000012497,0,1,NA
ENSMPUG00000001431,0,1,NA
ENSMPUG00000002772,0,1,NA
ENSMPUG00000003233,0,1,NA
ENSMPUG00000000641,0,1,0
ENSMPUG00000005419,0,0,NA
ENSMPUG00000015188,0,1,NA
ENSMPUG00000001410,0,1,NA
ENSMPUG00000005395,0,1,NA
ENSMPUG00000005961,0,1,NA
ENSMPUG00000007831,0,1,NA
ENSMPUG00000003310,0,1,NA
ENSMPUG00000008986,0,1,NA
ENSMPUG00000007197,0,1,NA
ENSMPUG00000010509,0,1,NA
ENSMPUG00000011390,0,1,NA
ENSMPUG00000020197,0,1,NA
ENSMPUG00000014615,0,1,NA
ENSMPUG00000015356,0,1,NA
ENSMPUG00000019643,0,1,NA
ENSMPUG00000005157,0,1,NA
ENSMPUG00000019368,0,1,NA
ENSMPUG00000002977,0,1,NA
ENSMPUG00000007201,0,0,0
ENSMPUG00000017706,0,1,NA
ENSMPUG00000000807,0,1,NA
ENSMPUG00000005360,0,1,NA
ENSMPUG00000002187,0,1,NA
ENSMPUG00000013386,0,1,NA
ENSMPUG00000013506,0,1,NA
ENSMPUG00000011520,0,1,NA
ENSMPUG00000019918,0,1,NA
ENSMPUG00000018578,0,1,NA
ENSMPUG00000004985,0,1,NA
ENSMPUG00000008223,0,1,NA
ENSMPUG00000006366,0,1,NA
ENSMPUG00000000564,0,1,NA
ENSMPUG00000003318,0,1,NA
ENSMPUG00000011806,0,1,NA
ENSMPUG00000006274,0,1,NA
ENSMPUG00000009348,0,1,NA
ENSMPUG00000013295,0,1,NA
ENSMPUG00000008499,0,1,NA
ENSMPUG00000018166,0,1,NA
ENSMPUG00000015948,0,1,NA
ENSMPUG00000015061,0,1,NA
ENSMPUG00000006482,1,NA,NA
ENSMPUG00000016346,0,1,NA
ENSMPUG00000018652,0,1,NA
ENSMPUG00000001476,1,0,NA
ENSMPUG00000004630,0,1,NA
ENSMPUG00000019731,0,1,NA
ENSMPUG00000012579,0,1,NA
ENSMPUG00000001931,0,0,0
ENSMPUG00000012719,0,0,0
ENSMPUG00000010280,0,1,NA
ENSMPUG00000002139,0,1,NA
ENSMPUG00000007851,0,1,NA
ENSMPUG00000008494,0,1,NA
ENSMPUG00000013749,0,1,NA
ENSMPUG00000009545,0,1,NA
ENSMPUG00000002372,1,NA,NA
ENSMPUG00000005809,0,1,NA
ENSMPUG00000008384,0,1,NA
ENSMPUG00000010024,0,1,NA
ENSMPUG00000014695,0,0,NA
ENSMPUG00000014768,0,1,NA
ENSMPUG00000016288,0,1,NA
ENSMPUG00000002846,0,1,NA
ENSMPUG00000014379,-1,NA,NA
ENSMPUG00000011070,0,1,NA
ENSMPUG00000012285,0,1,NA
ENSMPUG00000013700,0,1,NA
ENSMPUG00000017226,0,1,0
ENSMPUG00000017700,-1,NA,NA
ENSMPUG00000008504,-1,NA,NA
ENSMPUG00000009948,0,1,NA
